pepper,Spice,Flavoring/Other,,217.59,134.25,247.8125,344.3,4.25,95.25,35.5,5.75,NA,350.875,120.5,NA,1.625,4.5,3.5,6,4.5,6,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
perch,Fish,Meat,,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pickled carp,Fish,Meat,preserved,2388,NA,228,NA,NA,NA,NA,0,NA,0,384,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pickled deer,Meat,Meat,"venison, wild",17.25,6.25,8,11,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pickled eel,Fish,Meat,,18600,1572,1200,2640,NA,NA,NA,24,NA,136,1248,NA,NA,NA,NA,NA,NA,NA,96,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pickled gudgeon,Fish,Meat,,24,348,120,156,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pickled herring,Fish,Meat,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pickled herring,Fish,Meat,preserved,876,1560,3240,3924,NA,NA,NA,NA,NA,1752,156,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pickled lamprey,Fish,Meat,,192,264,300,60,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pickled pike,Fish,Meat,preserved,1848,120,100,0,NA,NA,NA,0,NA,1152,96,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
